date,code,open,high,low,close,preclose,volume,amount,adjustflag
2020-01-02,sh.600036,38.03,39.12,38.02,38.88,37.58,82624452,3191180650.0,3
2020-01-03,sh.600036,38.95,39.62,38.92,39.4,38.88,52010611,2045230273.0,3
2020-01-06,sh.600036,39.19,40.16,38.9,39.24,39.4,54887720,2171575505.0,3
2020-01-07,sh.600036,39.55,39.94,39.1,39.15,39.24,34767128,1369304771.0,3
2020-01-08,sh.600036,38.95,38.95,38.41,38.41,39.15,36323418,1403861101.0,3
2020-01-09,sh.600036,38.84,39.0,38.58,38.9,38.41,30335989,1177003661.0,3
2020-01-10,sh.600036,38.9,39.28,38.75,39.04,38.9,28593121,1116903172.0,3
2020-01-13,sh.600036,39.28,39.28,38.75,39.1,39.04,32780852,1279073028.0,3
2020-01-14,sh.600036,39.14,39.63,38.7,38.81,39.1,33564638,1314430602.0,3
2020-01-15,sh.600036,38.84,38.89,38.02,38.12,38.81,48859891,1870048774.0,3
2020-01-16,sh.600036,38.22,38.35,37.76,37.96,38.12,45384826,1723277982.0,3
2020-01-17,sh.600036,38.06,38.17,37.68,37.93,37.96,42135711,1595789849.0,3
2020-01-20,sh.600036,38.22,38.65,38.0,38.31,37.93,58580886,2244268938.0,3
2020-01-21,sh.600036,37.95,38.15,37.7,37.79,38.31,41720185,1580332561.0,3
2020-01-22,sh.600036,37.7,38.1,37.15,37.82,37.79,53125460,2000618547.0,3
2020-01-23,sh.600036,37.53,37.7,36.45,36.81,37.82,78750274,2912304571.0,3
2020-02-03,sh.600036,33.8,35.5,33.8,35.03,36.81,113106226,3944795003.0,3
2020-02-04,sh.600036,35.04,35.48,34.68,35.35,35.03,122967652,4313054347.0,3
2020-02-05,sh.600036,35.34,35.51,34.83,35.36,35.35,80257198,2826862599.0,3
2020-02-06,sh.600036,35.5,35.83,35.13,35.75,35.36,73070159,2589474707.0,3
2020-02-07,sh.600036,35.1,35.46,35.01,35.42,35.75,67552464,2374190018.0,3
2020-02-10,sh.600036,35.13,35.24,34.95,35.1,35.42,57504178,2016401930.0,3
2020-02-11,sh.600036,35.3,35.85,35.15,35.57,35.1,55743628,1983770029.0,3
