date,code,open,high,low,close,preclose,volume,amount
2020-01-02,sh.000300,4121.3480,4172.6550,4121.3480,4152.2400,4096.5820,18211677184,270105530368.0000
2020-01-03,sh.000300,4161.2180,4164.2980,4131.8640,4144.9640,4152.2400,14282624512,215216287744.0000
2020-01-06,sh.000300,4120.5210,4170.6380,4102.3790,4129.2950,4144.9640,17530995200,250182070272.0000
2020-01-07,sh.000300,4137.4010,4161.2500,4135.0970,4160.2270,4129.2950,13948903168,196389060608.0000
2020-01-08,sh.000300,4139.6310,4149.8130,4101.9800,4112.3170,4160.2270,16758585088,212406263808.0000
2020-01-09,sh.000300,4145.5340,4165.6570,4143.5920,4164.3690,4112.3170,13688632320,200150351872.0000
2020-01-10,sh.000300,4177.5770,4180.9770,4148.4810,4163.1840,4164.3690,11303171840,177827414016.0000
2020-01-13,sh.000300,4166.9250,4203.9880,4148.6000,4203.9880,4163.1840,11969198336,199795490816.0000
2020-01-14,sh.000300,4215.1570,4223.5070,4188.0800,4189.8860,4203.9880,12932078336,196221263872.0000
2020-01-15,sh.000300,4186.8810,4193.8680,4150.8790,4166.7340,4189.8860,10463313664,163081932800.0000
2020-01-16,sh.000300,4174.8170,4175.2930,4142.1790,4149.0430,4166.7340,10026764288,156242505728.0000
2020-01-17,sh.000300,4162.1930,4177.0280,4141.6440,4154.8530,4149.0430,9872568320,166591590400.0000
2020-01-20,sh.000300,4170.7360,4185.9620,4149.4870,4185.8300,4154.8530,12240914688,202692288512.0000
2020-01-21,sh.000300,4165.0200,4165.0200,4113.3250,4114.3080,4185.8300,13052750592,204586881024.0000
2020-01-22,sh.000300,4093.8000,4141.1770,4046.4860,4131.9310,4114.3080,12675876352,208136151040.0000
2020-01-23,sh.000300,4093.3220,4103.5240,3972.3930,4003.9010,4131.9310,16035760384,250409357312.0000
2020-02-03,sh.000300,3639.9080,3732.1570,3639.9080,3688.3570,4003.9010,15755964672,243303104512.0000
2020-02-04,sh.000300,3652.0030,3786.8620,3652.0030,3785.6370,3688.3570,21393332736,298165768192.0000
2020-02-05,sh.000300,3801.0990,3866.0100,3781.6130,3828.5270,3785.6370,17492552448,264042921984.0000
2020-02-06,sh.000300,3841.7530,3914.9150,3806.9600,3899.7750,3828.5270,17646223616,262820089856.0000
2020-02-07,sh.000300,3879.5530,3899.8830,3849.7120,3899.8690,3899.7750,15173175808,237508816896.0000
2020-02-10,sh.000300,3872.3730,3920.1660,3861.0060,3916.0050,3899.8690,14840696832,229625442304.0000
2020-02-11,sh.000300,3926.4200,3970.5220,3915.7070,3952.4640,3916.0050,14344167424,219307118592.0000
2020-02-12,sh.000300,3945.6660,3984.4320,3940.6660,3984.4320,3952.4640,12671032064,200776708096.0000
2020-02-13,sh.000300,3985.8750,3999.5490,3950.1420,3959.9180,3984.4320,14500184320,228605964288.0000
2020-02-14,sh.000300,3954.2340,4001.5620,3954.0230,3987.7340,3959.9180,14323980288,222895075328.0000
2020-02-17,sh.000300,3999.6510,4077.4460,3999.6510,4077.4240,3987.7340,18277896960,273067819008.0000
2020-02-18,sh.000300,4069.8310,4076.3880,4027.7850,4057.5100,4077.4240,16323621888,242552516608.0000
2020-02-19,sh.000300,4049.5860,4085.1700,4042.8450,4051.3100,4057.5100,16904644096,257554534400.0000
2020-02-20,sh.000300,4062.8960,4148.5280,4055.8100,4144.6560,4051.3100,21223262464,310835589120.0000
2020-02-21,sh.000300,4134.8740,4184.4370,4130.1670,4149.4900,4144.6560,21721360384,326564003840.0000
2020-02-24,sh.000300,4131.8360,4149.0100,4097.1750,4132.8380,4149.4900,21286930432,326387802112.0000
2020-02-25,sh.000300,4066.3020,4126.7070,4020.9070,4123.8540,4132.8380,24416783104,372213719040.0000
2020-02-26,sh.000300,4070.0990,4132.7810,4061.1250,4073.0150,4123.8540,26109406208,366022418432.0000
2020-02-27,sh.000300,4084.0780,4110.5270,4067.4400,4084.8750,4073.0150,18129097984,282050207744.0000
2020-02-28,sh.000300,3988.7270,4031.1450,3928.0660,3940.0480,4084.8750,23027509248,330358906880.0000
2020-03-02,sh.000300,3968.8430,4092.5390,3968.8430,4069.6660,3940.0480,21931355904,317426204672.0000
2020-03-03,sh.000300,4125.1350,4147.6520,4067.9090,4091.3610,4069.6660,21936977664,330802585600.0000
2020-03-04,sh.000300,4078.4990,4115.2610,4060.7290,4115.0520,4091.3610,18242472960,281784864768.0000
2020-03-05,sh.000300,4150.2100,4215.8510,4127.0380,4206.7250,4115.0520,23182311424,362838831104.0000
