日期,中行汇买价,中行钞买价,中行钞卖价/汇卖价,央行中间价,中行折算价
2023-03-06,691.8,686.17,694.73,689.51,689.51
2023-03-07,694.49,688.84,697.44,691.56,691.56
2023-03-08,693.49,687.85,696.43,695.25,695.25
2023-03-09,695.04,689.39,697.99,696.66,696.66
2023-03-10,689.7,684.09,692.62,696.55,696.55
2023-03-13,682.51,676.96,685.41,693.75,693.75
2023-03-14,686.01,680.43,688.92,689.49,689.49
2023-03-15,689.0,683.4,691.92,686.8,686.8
2023-03-16,688.5,682.9,691.42,691.49,691.49
2023-03-17,687.65,682.06,690.57,690.52,690.52
2023-03-20,686.86,681.27,689.77,686.94,686.94
2023-03-21,687.01,681.42,689.92,687.63,687.63
2023-03-22,686.86,681.27,689.77,687.15,687.15
2023-03-23,681.02,675.48,683.9,687.09,687.09
2023-03-24,685.96,680.38,688.87,683.74,683.74
2023-03-27,687.11,681.52,690.02,687.14,687.14
2023-03-28,686.51,680.92,689.42,687.49,687.49
2023-03-29,687.6,682.01,690.52,687.71,687.71
2023-03-30,686.41,680.82,689.32,688.86,688.86
2023-03-31,686.01,680.43,688.92,687.17,687.17
2023-04-03,686.72,681.13,689.63,688.05,688.05
2023-04-04,686.7,681.11,689.61,686.99,686.99
2023-04-05,686.71,681.12,689.62,,686.99
2023-04-06,686.41,680.82,689.32,687.47,687.47
2023-04-07,686.01,680.43,688.92,688.38,688.38
2023-04-10,687.36,681.76,690.27,687.64,687.64
2023-04-11,687.55,681.96,690.47,688.82,688.82
2023-04-12,686.51,680.92,689.42,688.54,688.54
2023-04-13,685.81,680.23,688.71,686.58,686.58
2023-04-14,685.91,680.33,688.81,686.06,686.06
2023-04-17,687.01,681.42,689.92,686.79,686.79
2023-04-18,686.46,680.87,689.37,688.14,688.14
2023-04-19,687.51,681.91,690.42,687.31,687.31
2023-04-20,686.21,680.63,689.12,689.87,689.87
2023-04-21,688.1,682.51,691.02,687.52,687.52
2023-04-24,688.4,682.8,691.32,688.35,688.35
2023-04-25,691.7,686.07,694.63,688.47,688.47
2023-04-26,691.25,685.62,694.18,692.37,692.37
2023-04-27,691.55,685.92,694.48,692.07,692.07
2023-04-28,690.4,684.78,693.33,692.4,692.4
2023-05-01,692.05,686.42,694.98,,692.4
2023-05-02,692.05,686.42,694.98,,692.4
2023-05-03,690.6,684.98,693.53,,692.4
2023-05-04,690.1,684.49,693.02,690.54,690.54
2023-05-05,690.0,684.39,692.92,691.14,691.14
2023-05-08,690.1,684.49,693.02,691.58,691.58
2023-05-09,690.9,685.28,693.83,692.55,692.55
2023-05-10,692.1,686.47,695.03,692.99,692.99
2023-05-11,693.74,688.1,696.68,691.01,691.01
2023-05-12,694.64,688.99,697.59,694.81,694.81
2023-05-15,694.09,688.45,697.03,696.54,696.54
2023-05-16,696.44,690.77,699.39,695.06,695.06
2023-05-17,698.48,692.8,701.44,697.48,697.48
2023-05-18,702.93,697.21,705.9,699.67,699.67
2023-05-19,699.48,693.79,702.45,703.56,703.56
2023-05-22,702.38,696.66,705.35,701.57,701.57
