date,code,open,high,low,close,preclose,volume,amount,adjustflag
2020-01-02,sz.000858,132.0000,133.5000,129.5900,132.0800,133.0100,30667439,4038536854.9500,3
2020-01-03,sz.000858,131.6000,132.0700,129.6100,130.5500,132.0800,20469248,2672531470.2300,3
2020-01-06,sz.000858,130.0000,130.2500,128.5200,129.2000,130.5500,25936979,3353682073.1300,3
2020-01-07,sz.000858,129.5000,131.0700,129.0000,129.3700,129.2000,22327793,2901574233.0800,3
2020-01-08,sz.000858,128.9900,129.7600,128.0500,128.8900,129.3700,16180218,2083242871.0500,3
2020-01-09,sz.000858,129.0000,131.2000,128.2500,130.7700,128.8900,25549057,3317934212.4100,3
2020-01-10,sz.000858,130.5000,134.0500,130.5000,133.6200,130.7700,42969542,5712380855.9700,3
2020-01-13,sz.000858,134.2600,140.0000,134.2500,139.6600,133.6200,49604194,6847185988.3000,3
2020-01-14,sz.000858,140.1000,140.6800,138.2000,138.5600,139.6600,19907317,2767444878.8900,3
2020-01-15,sz.000858,138.5600,142.8100,138.5500,140.8000,138.5600,23478904,3309331109.8100,3
2020-01-16,sz.000858,140.8000,142.0000,139.3000,140.6600,140.8000,14535988,2046672621.1200,3
2020-01-17,sz.000858,141.2600,141.8000,138.3000,138.5500,140.6600,14847814,2068064059.8500,3
2020-01-20,sz.000858,140.5500,140.6600,136.8000,137.5600,138.5500,16753769,2308928098.7000,3
2020-01-21,sz.000858,136.5000,136.5000,132.0100,132.6200,137.5600,29307308,3903226854.5200,3
2020-01-22,sz.000858,130.9900,132.6700,129.7600,131.7000,132.6200,25753051,3375415201.5200,3
2020-01-23,sz.000858,131.7700,131.7700,125.0000,126.1600,131.7000,41593668,5294268764.0200,3
2020-02-03,sz.000858,113.5400,113.5400,113.5400,113.5400,126.1600,16763900,1903373206.0000,3
2020-02-04,sz.000858,109.0000,120.0000,109.0000,114.5000,113.5400,71021426,8017646168.9900,3
2020-02-05,sz.000858,115.9000,119.8000,114.1000,117.5100,114.5000,38878339,4546389350.9300,3
2020-02-06,sz.000858,119.0000,119.9400,116.6000,119.1500,117.5100,30655105,3619248778.7700,3
2020-02-07,sz.000858,119.2500,120.9300,117.6100,120.5800,119.1500,28011695,3346691769.0700,3
2020-02-10,sz.000858,119.5000,122.3300,118.5800,121.1300,120.5800,22187650,2682789606.0400,3
2020-02-11,sz.000858,121.1500,125.5000,121.1500,124.7900,121.1300,24577382,3049430907.6300,3
