股票,行业,年化收益,年化波动,Beta,夏普比率,特雷纳比率,詹森α,信息比率
招商银行,银行,4.48%,28.21%,0.90,0.053,0.016,0.0252,0.112
兴业银行,银行,2.72%,26.15%,0.70,-0.011,-0.004,0.0052,0.022
贵州茅台,白酒,8.80%,27.77%,0.97,0.209,0.060,0.0691,0.332
五粮液,白酒,2.45%,34.69%,1.29,-0.016,-0.004,0.0093,0.037
上汽集团,汽车,-3.53%,32.07%,0.85,-0.204,-0.077,-0.0556,-0.199
比亚迪,汽车,40.63%,43.65%,1.28,0.862,0.295,0.3918,1.067
保利发展,房地产,-10.07%,36.59%,0.85,-0.357,-0.153,-0.1209,-0.367
万科A,房地产,-27.97%,36.86%,1.00,-0.840,-0.309,-0.2983,-0.943
中国石油,能源,15.27%,29.61%,0.45,0.414,0.271,0.1279,0.424
中国联通,通信,-0.06%,29.37%,0.71,-0.104,-0.043,-0.0224,-0.084
